Title,Author,Length
1. Tom Lake,Ann Patchett,11 hrs and 22 mins
2. Atomic Habits,James Clear,5 hrs and 35 mins
3. None of This Is True,Lisa Jewell,10 hrs and 13 mins
4. Outlive,"Peter Attia MD, Bill Gifford - contributor",17 hrs and 7 mins
5. Fourth Wing,Rebecca Yarros,20 hrs and 43 mins
6. Lessons in Chemistry,Bonnie Garmus,11 hrs and 55 mins
7. Wolf Pack,Edo van Belkom,4 hrs and 3 mins
8. Demon Copperhead,Barbara Kingsolver,21 hrs and 3 mins
9. The Covenant of Water,Abraham Verghese,31 hrs and 16 mins
10. The Housemaid,Freida McFadden,9 hrs and 46 mins
"11. Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,8 hrs and 18 mins
12. I'm Glad My Mom Died,Jennette McCurdy,6 hrs and 26 mins
"13. Red, White & Royal Blue",Casey McQuiston,12 hrs and 15 mins
14. Can't Hurt Me,David Goggins,13 hrs and 37 mins
15. American Prometheus,"Kai Bird, Martin J. Sherwin",26 hrs and 30 mins
16. A Court of Thorns and Roses,Sarah J. Maas,16 hrs and 7 mins
17. The Subtle Art of Not Giving a F*ck,Mark Manson,5 hrs and 17 mins
18. The Summer I Turned Pretty,Jenny Han,6 hrs
19. Greenlights,Matthew McConaughey,6 hrs and 42 mins
20. We’ll Always Have Summer,Jenny Han,6 hrs and 3 mins
21. Verity,Colleen Hoover,8 hrs and 10 mins
"22. Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,9 hrs and 2 mins
23. Remarkably Bright Creatures,Shelby Van Pelt,11 hrs and 16 mins
24. How to Win Friends & Influence People,Dale Carnegie,7 hrs and 15 mins
25. It Ends with Us,Colleen Hoover,11 hrs and 11 mins
"26. Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,11 hrs and 49 mins
27. The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,12 hrs and 10 mins
"28. Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,20 hrs and 36 mins
29. Wool,Hugh Howey,15 hrs
30. A Court of Mist and Fury,Sarah J. Maas,23 hrs and 16 mins
31. Killers of the Flower Moon,David Grann,9 hrs and 4 mins
32. It’s Not Summer Without You,Jenny Han,6 hrs and 7 mins
33. The Body Keeps the Score,Bessel A. van der Kolk,16 hrs and 15 mins
34. Fairy Tale,Stephen King,24 hrs and 6 mins
35. 12 Rules for Life,"Jordan B. Peterson, Norman Doidge MD",15 hrs and 40 mins
"36. Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,26 hrs and 28 mins
37. Hábitos atómicos,James Clear,9 hrs and 1 min
38. Never Finished,David Goggins,11 hrs and 6 mins
"39. Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,18 hrs and 32 mins
40. Project Hail Mary,Andy Weir,16 hrs and 10 mins
41. The Psychology of Money,Morgan Housel,5 hrs and 48 mins
42. Spare,Prince Harry The Duke of Sussex,15 hrs and 39 mins
"43. Defiance of the Fall, Book 10","TheFirstDefier, JF Brink",20 hrs and 8 mins
44. The Four Agreements,don Miguel Ruiz,2 hrs and 31 mins
45. The Five-Star Weekend,Elin Hilderbrand,12 hrs and 45 mins
46. A Court of Wings and Ruin,Sarah J. Maas,25 hrs and 9 mins
47. The Mountain Is You,Brianna Wiest,5 hrs and 44 mins
48. The Hobbit,J. R. R. Tolkien,10 hrs and 25 mins
49. Haunting Adeline,H. D. Carlton,15 hrs and 47 mins
50. How to Talk to Anyone,Leil Lowndes,8 hrs and 59 mins
51. The Heaven & Earth Grocery Store,James McBride,12 hrs and 21 mins
"52. Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,21 hrs and 36 mins
53. Legacy on Trial,Joe Cargile,12 hrs and 16 mins
54. It Starts with Us,Colleen Hoover,8 hrs and 41 mins
55. The Housemaid's Secret,Freida McFadden,9 hrs and 44 mins
56. Hello Beautiful,Ann Napolitano,15 hrs and 6 mins
57. The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,33 hrs and 45 mins
58. Adversity for Sale,Jeezy,7 hrs and 46 mins
59. Identity,Nora Roberts,15 hrs and 4 mins
60. Dune,Frank Herbert,21 hrs and 2 mins
61. The Real Anthony Fauci,Robert F. Kennedy Jr.,27 hrs and 20 mins
62. Light Bringer,Pierce Brown,30 hrs and 8 mins
63. Great CEOs Are Lazy,Jim Schleckser,5 hrs and 18 mins
64. Never Split the Difference,Chris Voss,8 hrs and 7 mins
65. Everyone Here Is Lying,Shari Lapena,9 hrs and 28 mins
66. The Wager,David Grann,8 hrs and 28 mins
67. A Court of Silver Flames,Sarah J. Maas,26 hrs and 5 mins
68. Unfu*k Yourself,Gary John Bishop,3 hrs and 24 mins
69. Throne of Glass,Sarah J. Maas,13 hrs and 3 mins
